,Job Title,Salary Estimate,Company Name,Location,Size,Type of ownership,Industry,Sector
197,Data Collection Analyst,$60K-$110K (Glassdoor est.),"Columbia University Medical Center
3.8","New York, NY",5001 to 10000 employees,Hospital,Health Care Services & Hospitals,Health Care
198,Sr Business /Data Analyst- Reference data,$60K-$110K (Glassdoor est.),"Xoriant Corporation
3.7","Jersey City, NJ",1001 to 5000 employees,Company - Private,IT Services,Information Technology
199,Data Analyst,$60K-$110K (Glassdoor est.),"The Denzel Group
4.7","South Plainfield, NJ",1 to 50 employees,Company - Private,-1,-1
200,SENIOR DATA ANALYST,$60K-$110K (Glassdoor est.),"Montefiore Medical
3.7","New York, NY",10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
201,Senior Data Analyst / Scientist,$60K-$110K (Glassdoor est.),"Cedent Consulting
3.3","New York, NY",1 to 50 employees,Company - Private,Consulting,Business Services
202,Senior Data Analyst - Regulatory Reporting,$60K-$110K (Glassdoor est.),"ACS
3.4","New York, NY",1 to 50 employees,Company - Private,General Repair & Maintenance,"Construction, Repair & Maintenance"
203,Data Reporting Analyst,$60K-$110K (Glassdoor est.),"NADAP
3.2","New York, NY",201 to 500 employees,Nonprofit Organization,Social Assistance,Non-Profit
204,Data Governance Analyst,$60K-$110K (Glassdoor est.),SGA Inc.,"New York, NY",1 to 50 employees,Company - Private,Architectural & Engineering Services,Business Services
205,Data Analyst,$60K-$110K (Glassdoor est.),Newspaper Administration,"New York, NY",-1,-1,-1,-1
206,Senior Data Analyst (6-12 Month Contract-Remote),$60K-$110K (Glassdoor est.),"VISTRADA
5.0","New York, NY",1 to 50 employees,Company - Private,Advertising & Marketing,Business Services
207,"Principal Data Analyst, LATAM – Disney Streaming Services",$60K-$110K (Glassdoor est.),"Disney Streaming Services
3.6","New York, NY",501 to 1000 employees,Company - Private,Internet,Information Technology
208,Data Analyst- Win 10 Migration- NYC,$60K-$110K (Glassdoor est.),"Royal Communications Consultants Inc
3.0","New York, NY",1 to 50 employees,Company - Private,IT Services,Information Technology
